area_code,area_name,indicator,period,measure,unit,value,group
E08000005,Rochdale,Vehicles,2015-10-01,Frequency,Vehicles,71,Electric vehicles
E08000006,Salford,Vehicles,2015-10-01,Frequency,Vehicles,169,Electric vehicles
E08000007,Stockport,Vehicles,2015-10-01,Frequency,Vehicles,145,Electric vehicles
E08000008,Tameside,Vehicles,2015-10-01,Frequency,Vehicles,60,Electric vehicles
E08000009,Trafford,Vehicles,2015-10-01,Frequency,Vehicles,146,Electric vehicles
E08000010,Wigan,Vehicles,2015-10-01,Frequency,Vehicles,133,Electric vehicles
E08000001,Bolton,Vehicles,2015-07-01,Frequency,Vehicles,80,Electric vehicles
E08000002,Bury,Vehicles,2015-07-01,Frequency,Vehicles,170,Electric vehicles
E08000003,Manchester,Vehicles,2015-07-01,Frequency,Vehicles,132,Electric vehicles
E08000004,Oldham,Vehicles,2015-07-01,Frequency,Vehicles,102,Electric vehicles
E08000005,Rochdale,Vehicles,2015-07-01,Frequency,Vehicles,61,Electric vehicles
E08000006,Salford,Vehicles,2015-07-01,Frequency,Vehicles,164,Electric vehicles
E08000007,Stockport,Vehicles,2015-07-01,Frequency,Vehicles,135,Electric vehicles
E08000008,Tameside,Vehicles,2015-07-01,Frequency,Vehicles,55,Electric vehicles
E08000009,Trafford,Vehicles,2015-07-01,Frequency,Vehicles,120,Electric vehicles
E08000010,Wigan,Vehicles,2015-07-01,Frequency,Vehicles,103,Electric vehicles
E08000001,Bolton,Vehicles,2015-04-01,Frequency,Vehicles,64,Electric vehicles
E08000002,Bury,Vehicles,2015-04-01,Frequency,Vehicles,156,Electric vehicles
E08000003,Manchester,Vehicles,2015-04-01,Frequency,Vehicles,114,Electric vehicles
E08000004,Oldham,Vehicles,2015-04-01,Frequency,Vehicles,86,Electric vehicles
E08000005,Rochdale,Vehicles,2015-04-01,Frequency,Vehicles,55,Electric vehicles
E08000006,Salford,Vehicles,2015-04-01,Frequency,Vehicles,151,Electric vehicles
E08000007,Stockport,Vehicles,2015-04-01,Frequency,Vehicles,119,Electric vehicles
E08000008,Tameside,Vehicles,2015-04-01,Frequency,Vehicles,41,Electric vehicles
E08000009,Trafford,Vehicles,2015-04-01,Frequency,Vehicles,99,Electric vehicles
E08000010,Wigan,Vehicles,2015-04-01,Frequency,Vehicles,84,Electric vehicles
E08000001,Bolton,Vehicles,2015-01-01,Frequency,Vehicles,51,Electric vehicles
E08000002,Bury,Vehicles,2015-01-01,Frequency,Vehicles,155,Electric vehicles
E08000003,Manchester,Vehicles,2015-01-01,Frequency,Vehicles,107,Electric vehicles
E08000004,Oldham,Vehicles,2015-01-01,Frequency,Vehicles,80,Electric vehicles
E08000005,Rochdale,Vehicles,2015-01-01,Frequency,Vehicles,42,Electric vehicles
E08000006,Salford,Vehicles,2015-01-01,Frequency,Vehicles,144,Electric vehicles
E08000007,Stockport,Vehicles,2015-01-01,Frequency,Vehicles,105,Electric vehicles
E08000008,Tameside,Vehicles,2015-01-01,Frequency,Vehicles,30,Electric vehicles
E08000009,Trafford,Vehicles,2015-01-01,Frequency,Vehicles,73,Electric vehicles
E08000010,Wigan,Vehicles,2015-01-01,Frequency,Vehicles,76,Electric vehicles
E08000001,Bolton,Vehicles,2014-10-01,Frequency,Vehicles,43,Electric vehicles
E08000002,Bury,Vehicles,2014-10-01,Frequency,Vehicles,98,Electric vehicles
E08000003,Manchester,Vehicles,2014-10-01,Frequency,Vehicles,89,Electric vehicles
E08000004,Oldham,Vehicles,2014-10-01,Frequency,Vehicles,65,Electric vehicles
E08000005,Rochdale,Vehicles,2014-10-01,Frequency,Vehicles,33,Electric vehicles
E08000006,Salford,Vehicles,2014-10-01,Frequency,Vehicles,137,Electric vehicles
E08000007,Stockport,Vehicles,2014-10-01,Frequency,Vehicles,84,Electric vehicles
E08000008,Tameside,Vehicles,2014-10-01,Frequency,Vehicles,25,Electric vehicles
E08000009,Trafford,Vehicles,2014-10-01,Frequency,Vehicles,55,Electric vehicles
E08000010,Wigan,Vehicles,2014-10-01,Frequency,Vehicles,67,Electric vehicles
E08000001,Bolton,Vehicles,2014-07-01,Frequency,Vehicles,38,Electric vehicles
E08000002,Bury,Vehicles,2014-07-01,Frequency,Vehicles,91,Electric vehicles
E08000003,Manchester,Vehicles,2014-07-01,Frequency,Vehicles,78,Electric vehicles
E08000004,Oldham,Vehicles,2014-07-01,Frequency,Vehicles,59,Electric vehicles
E08000005,Rochdale,Vehicles,2014-07-01,Frequency,Vehicles,26,Electric vehicles
E08000006,Salford,Vehicles,2014-07-01,Frequency,Vehicles,128,Electric vehicles
E08000007,Stockport,Vehicles,2014-07-01,Frequency,Vehicles,68,Electric vehicles
E08000008,Tameside,Vehicles,2014-07-01,Frequency,Vehicles,12,Electric vehicles
E08000009,Trafford,Vehicles,2014-07-01,Frequency,Vehicles,38,Electric vehicles
E08000010,Wigan,Vehicles,2014-07-01,Frequency,Vehicles,50,Electric vehicles
E08000001,Bolton,Vehicles,2014-04-01,Frequency,Vehicles,34,Electric vehicles
E08000002,Bury,Vehicles,2014-04-01,Frequency,Vehicles,47,Electric vehicles
E08000003,Manchester,Vehicles,2014-04-01,Frequency,Vehicles,69,Electric vehicles
E08000004,Oldham,Vehicles,2014-04-01,Frequency,Vehicles,37,Electric vehicles
E08000005,Rochdale,Vehicles,2014-04-01,Frequency,Vehicles,21,Electric vehicles
E08000006,Salford,Vehicles,2014-04-01,Frequency,Vehicles,117,Electric vehicles
E08000007,Stockport,Vehicles,2014-04-01,Frequency,Vehicles,52,Electric vehicles
E08000008,Tameside,Vehicles,2014-04-01,Frequency,Vehicles,10,Electric vehicles
E08000009,Trafford,Vehicles,2014-04-01,Frequency,Vehicles,33,Electric vehicles
E08000010,Wigan,Vehicles,2014-04-01,Frequency,Vehicles,38,Electric vehicles
E08000001,Bolton,Vehicles,2014-01-01,Frequency,Vehicles,26,Electric vehicles
E08000002,Bury,Vehicles,2014-01-01,Frequency,Vehicles,18,Electric vehicles
E08000003,Manchester,Vehicles,2014-01-01,Frequency,Vehicles,59,Electric vehicles
E08000004,Oldham,Vehicles,2014-01-01,Frequency,Vehicles,23,Electric vehicles
E08000005,Rochdale,Vehicles,2014-01-01,Frequency,Vehicles,14,Electric vehicles
E08000006,Salford,Vehicles,2014-01-01,Frequency,Vehicles,112,Electric vehicles
E08000007,Stockport,Vehicles,2014-01-01,Frequency,Vehicles,46,Electric vehicles
E08000008,Tameside,Vehicles,2014-01-01,Frequency,Vehicles,5,Electric vehicles
E08000009,Trafford,Vehicles,2014-01-01,Frequency,Vehicles,28,Electric vehicles
E08000010,Wigan,Vehicles,2014-01-01,Frequency,Vehicles,32,Electric vehicles
E08000001,Bolton,Vehicles,2013-10-01,Frequency,Vehicles,23,Electric vehicles
E08000002,Bury,Vehicles,2013-10-01,Frequency,Vehicles,12,Electric vehicles
E08000003,Manchester,Vehicles,2013-10-01,Frequency,Vehicles,45,Electric vehicles
E08000004,Oldham,Vehicles,2013-10-01,Frequency,Vehicles,20,Electric vehicles
E08000005,Rochdale,Vehicles,2013-10-01,Frequency,Vehicles,11,Electric vehicles
E08000006,Salford,Vehicles,2013-10-01,Frequency,Vehicles,109,Electric vehicles
E08000007,Stockport,Vehicles,2013-10-01,Frequency,Vehicles,40,Electric vehicles
E08000008,Tameside,Vehicles,2013-10-01,Frequency,Vehicles,5,Electric vehicles
