area_code,area_name,period,value,indicator,measure,unit,group
E23000005,Greater Manchester,2012/13,10.886703066151384,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2012/13,6.9172958551038564,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2012/13,7.1766219083587988,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2013/14,61.403963817889753,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2013/14,67.309005740405723,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2013/14,11.105208238520818,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2013/14,10.902958009933453,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2013/14,1.1226923439941905,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2013/14,1.187912683050163,Offence rate,"Rate per 1,000",Offences,Sexual offences
E92000001,England,2013/14,1.0602364250957341,Offence rate,"Rate per 1,000",Offences,Robbery
E23000005,Greater Manchester,2013/14,1.4433379717085026,Offence rate,"Rate per 1,000",Offences,Robbery
E92000001,England,2013/14,32.51349331058973,Offence rate,"Rate per 1,000",Offences,Theft offences
E23000005,Greater Manchester,2013/14,36.841210982398977,Offence rate,"Rate per 1,000",Offences,Theft offences
E92000001,England,2013/14,8.8074435790408252,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E23000005,Greater Manchester,2013/14,10.279942414553762,Offence rate,"Rate per 1,000",Offences,Criminal damage and arson
E92000001,England,2013/14,6.7948899206484557,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E23000005,Greater Manchester,2013/14,6.6536436787608686,Offence rate,"Rate per 1,000",Offences,Other crimes against society
E92000001,England,2014/15,62.154575693152488,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E23000005,Greater Manchester,2014/15,73.806775718499452,Offence rate,"Rate per 1,000",Offences,Total recorded crime
E92000001,England,2014/15,13.527113122594985,Offence rate,"Rate per 1,000",Offences,Violence against the person
E23000005,Greater Manchester,2014/15,15.15935453343416,Offence rate,"Rate per 1,000",Offences,Violence against the person
E92000001,England,2014/15,1.5436320217699473,Offence rate,"Rate per 1,000",Offences,Sexual offences
E23000005,Greater Manchester,2014/15,1.8167935105462467,Offence rate,"Rate per 1,000",Offences,Sexual offences
